city,population
Hájske,1346
Mojzesovo,1346
Budča,1340
Trebatice,1340
Nová Ves nad Žitavou,1338
Vlčkovce,1338
Skačany,1337
Brzotín,1336
Košťany nad Turcom,1336
Kamienka,1336
Vyšná Šebastová,1335
Opoj,1335
Šumiac,1335
Pozdišovce,1334
Semerovo,1332
Brekov,1332
Tulčík,1331
Čirč,1330
Šíd,1329
Pribylina,1327
Hrubá Borša,1323
Vitanová,1321
Ľubotín,1319
Veľký Ďur,1319
Partizánska Ľupča,1318
Nenince,1318
Výborná,1316
Terňa,1315
Modrany,1315
Sirk,1314
Hencovce,1311
Mojš,1311
Rožkovany,1306
Pravenec,1305
Ruská Nová Ves,1305
Podbiel,1304
Liptovský Peter,1303
Predajná,1301
Liptovská Štiavnica,1300
Nové Sady,1296
Vlkanová,1293
Michalová,1291
Čičava,1288
Gemerská Hôrka,1288
Vydrník,1288
Budimír,1288
Spišský Hrušov,1286
Žehňa,1277
Cigeľ,1271
Zemplínske Hámre,1270
Čáry,1269
Dojč,1269
Kamenica nad Hronom,1269
Kolačkov,1266
Chminianska Nová Ves,1259
Kolta,1257
Lubeník,1257
Čechynce,1255
Trenčianske Jastrabie,1252
Kokšov-Bakša,1251
Nitrianska Blatnica,1250
Lastovce,1250
Sokoľ,1250
Liptovská Porúbka,1248
Lastomír,1248
Závažná Poruba,1248
Kostoľany nad Hornádom,1247
Horný Bar,1244
Vtáčkovce,1243
Pohronský Ruskov,1241
Kračúnovce,1239
Trnavá Hora,1238
Považany,1236
Muráň,1236
Belá-Dulice,1235
Ráztočno,1235
Rajecká Lesná,1234
Ľubietová,1233
Číčov,1231
Udavské,1231
Žemberovce,1229
Dúbrava,1228
Veselé,1224
Bajč,1223
Svätý Anton,1222
Mníchova Lehota,1221
Šarišské Dravce,1217
Ľubeľa,1216
Brvnište,1214
Tureň,1214
Tekovská Breznica,1213
Hul,1212
Buzica,1212
Lazy pod Makytou,1209
Hostie,1209
Tužina,1208
Malý Lapáš,1206
Žabokreky,1206
Želovce,1206
"Unín, Skalica District",1206
Krivany,1205
Čataj,1205
Dolné Kočkovce,1205
Ostrov,1204
Liešťany,1204
Nižná Slaná,1204
Sokolce,1203
Hvozdnica,1199
Nána,1198
Báb,1195
Vrbnica,1194
Boťany,1193
Jasenica,1191
Nitrianske Sučany,1188
Zalužice,1186
Bátovce,1184
Nitrica,1182
Malé Dvorníky,1182
Jamník,1179
Jasenov,1179
Kojatice,1177
Sebechleby,1175
Čiližská Radvaň,1175
Cejkov,1171
Banská Belá,1171
Lenartov,1170
Čierne Kľačany,1168
Lukáčovce,1167
Skalka nad Váhom,1166
Mýtna,1165
Čakajovce,1163
Zamarovce,1163
Pobedim,1158
Teplička,1157
Beňuš,1152
Jasová,1151
Vyhne,1149
Stankovany,1149
Kráľovce,1149
Borša,1146
Hronec,1146
Nemce,1142
Vyšný Žipov,1142
Dubová,1142
Obid,1141
Dolné Obdokovce,1140
Hajnáčka,1139
Povina,1138
Jasenie,1138
Biskupice,1137
Kechnec,1137
Baka,1136
Fričovce,1136
Dunajov,1136
Veľký Blh,1133
Kátlovce,1133
Moča,1132
Stará Kremnička,1131
Lakšárska Nová Ves,1130
Bzovík,1129
Búč,1128
Zemplínske Hradište,1128
Kľačany,1127
Bohdanovce,1127
Čakanovce,1126
Malý Slavkov,1126
Malé Trakany,1124
Hronský Beňadik,1122
Vozokany,1121
Abrahám,1120
Malachov,1117
Čalovec,1114
Pohranice,1112
Skároš,1108
Rohovce,1108
Cerová,1105
Príbovce,1102
Záhradné,1101
Machulince,1101
Demjata,1101
Slovenské Nové Mesto,1100
Liptovský Ján,1099
Ďurčiná,1096
Kurima,1095
Podtureň,1094
Kráľovičove Kračany,1093
Čenkovce,1092
Malý Horeš,1091
Šajdíkove Humence,1089
Krpeľany,1087
Snežnica,1085
Podhorany,1085
Čata,1085
Horná Poruba,1084
Petrova Ves,1082
Kľušov,1081
Záborské,1080
Borovce,1080
Oravská Poruba,1079
Hubová,1079
Ratnovce,1079
